Date Time	CPU	Memory	DiskInput	DiskOutput	NetIn	NetOut
2014-09-25 20:34:12	1.2	19.9	0	22937	257	0
2014-09-25 20:39:23	0.6	20.0	0	1060454	257	48
2014-09-25 20:44:34	1.0	21.0	0	15564	424	150
2014-09-25 20:49:45	1.6	22.3	1553408	302694	268	60
2014-09-25 20:54:56	18.2	22.3	16384	313856	2166	135419
2014-09-25 21:00:07	8.7	21.9	0	262963	2028	107928
2014-09-25 21:05:18	1.0	21.6	0	18022	327	24
2014-09-25 21:10:29	6.6	22.1	0	276889	1047	104594
2014-09-25 21:15:40	1.7	22.1	0	38092	268	84
2014-09-25 21:20:51	7.2	22.6	0	195891	3480	214758
2014-09-25 21:26:02	4.9	22.2	0	1312358	1259	346
2014-09-25 21:31:13	6.0	20.7	0	387481	563	28442
2014-09-25 21:36:24	4.5	20.6	2945536	4915	543	17
2014-09-25 21:41:35	3.1	20.8	0	46899	800	86
2014-09-25 21:46:46	6.4	21.0	0	16384	708	42836
2014-09-25 21:51:57	15.2	20.5	36044	12697	90	21
2014-09-25 21:57:08	1.7	20.8	0	32460	312	52
2014-09-25 22:02:19	3.9	20.8	0	236748	997	65962
2014-09-25 22:07:30	4.1	20.7	0	294092	257	0
2014-09-25 22:12:41	0.8	20.7	874905	624640	257	0
2014-09-25 22:17:52	2.9	20.0	0	6553	257	0
2014-09-25 22:23:03	12.7	22.4	119193	1323110	12536	75954
2014-09-25 22:28:14	9.8	19.4	419430	10649	337	0
2014-09-25 22:33:25	8.4	19.4	0	15564	257	0
2014-09-25 22:38:37	9.6	19.4	865075	220979	301	0
2014-09-26 15:40:26	1.6	19.9	80281	66252	777	13502
2014-09-26 15:45:37	13.6	20.7	470118	2076057	3064	96635
2014-09-26 15:50:49	3.7	23.3	4915	1231769	257	24
2014-09-26 15:56:00	1.8	18.4	66355	715366	19763	155690
2014-09-26 16:01:11	3.1	21.6	0	21708	21	49
2014-09-26 16:06:22	5.9	19.7	819	267161	1223	92792
2014-09-26 16:11:33	0.8	21.0	13107	9830	1005	19243
2014-09-26 16:16:44	18.0	20.6	9830	638976	822	2922
2014-09-26 16:21:55	4.5	20.3	226099	719360	978	36553
2014-09-26 16:27:06	3.0	20.4	0	13926	599	21585
2014-09-26 16:32:17	5.5	20.6	24576	60928	4198	3137
2014-09-26 16:37:28	0.8	20.1	0	20172	80	0
2014-09-26 16:42:39	3.9	20.5	0	245760	863	57326
2014-09-26 16:47:50	0.6	20.0	0	5734	0	0
2014-09-26 16:53:01	0.3	19.9	0	5734	257	0
2014-09-26 16:58:12	1.2	19.8	0	15564	257	0
2014-09-26 17:03:23	11.5	20.5	5458534	933478	430	99
2014-09-26 17:08:34	0.4	20.4	0	15257	337	0
